E_AA_NAME,Label (Grouping),Geoid1,Median HH Income,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),Total: (Population Race P8 Census 2020.csv),Total:!!American Indian and Alaska Native alone,Total:!!Asian alone,Total:!!Black or African American alone,Total:!!Native Hawaiian and Other Pacific Islander alone,Total:!!White alone,Total:!!Two or More Races,Total:!!Some Other Race alone
,Block Group 0; Census Tract 9901; San Francisco County; California,,,0,0,0,0,0,0,0,0,0,0
,Block Group 1; Census Tract 9804.01; San Francisco County; California,,,0,0,0,0,0,0,0,0,0,0
,Block Group 2; Census Tract 179.03; San Francisco County; California,,,0,0,0,0,0,0,0,0,0,0
ALAMO,Block Group 1; Census Tract 426.01; San Francisco County; California,60750426011,"$76,944",827,"1,722","1,722",0,712,23,2,735,169,81
,Block Group 1; Census Tract 426.02; San Francisco County; California,60750426021,"$148,295",518,"1,135","1,135",2,394,17,3,541,136,42
,Block Group 1; Census Tract 427; San Francisco County; California,60750427001,"$125,065",876,"1,779","1,779",15,655,14,0,860,122,113
,Block Group 1; Census Tract 428; San Francisco County; California,60750428001,"$179,286",485,"1,055","1,055",0,230,8,1,701,96,19
,Block Group 1; Census Tract 476; San Francisco County; California,60750476001,"$94,509",652,"1,391","1,391",1,590,24,4,552,180,40
,Block Group 1; Census Tract 477.01; San Francisco County; California,60750477011,"$103,300",731,"1,558","1,558",5,649,25,7,665,141,66
,Block Group 1; Census Tract 478.02; San Francisco County; California,60750478021,"$102,019",508,"1,193","1,193",6,451,31,0,501,154,50
,Block Group 1; Census Tract 601; San Francisco County; California,60750601001,"$208,125",800,"1,914","1,914",19,192,65,4,"1,286",240,108
,Block Group 1; Census Tract 9802; San Francisco County; California,60759802001,,1,79,79,0,5,21,0,46,2,5
,Block Group 2; Census Tract 426.01; San Francisco County; California,60750426012,"$117,543","1,057","2,195","2,195",4,739,44,1,"1,122",201,84
,Block Group 2; Census Tract 426.02; San Francisco County; California,60750426022,,509,"1,062","1,062",3,268,19,1,581,157,33
,Block Group 2; Census Tract 427; San Francisco County; California,60750427002,"$112,578",916,"1,912","1,912",8,798,61,6,791,153,95
,Block Group 2; Census Tract 428; San Francisco County; California,60750428002,,312,792,792,0,170,8,3,510,91,10
,Block Group 2; Census Tract 477.01; San Francisco County; California,60750477012,"$113,068",719,"1,503","1,503",7,721,21,0,586,125,43
,Block Group 2; Census Tract 601; San Francisco County; California,60750601002,,630,"1,776","1,776",10,127,26,0,"1,291",247,75
,Block Group 3; Census Tract 426.02; San Francisco County; California,60750426023,"$144,792",577,"1,272","1,272",4,452,15,2,655,113,31
,Block Group 3; Census Tract 427; San Francisco County; California,60750427003,"$105,545",876,"1,805","1,805",11,754,34,5,777,172,52
,Block Group 3; Census Tract 428; San Francisco County; California,60750428003,,232,586,586,0,108,0,0,428,46,4
,Block Group 3; Census Tract 478.01; San Francisco County; California,60750478013,"$152,500",746,"1,669","1,669",1,806,11,2,673,135,41
,Block Group 3; Census Tract 478.02; San Francisco County; California,60750478023,"$106,094",630,"1,501","1,501",5,828,25,3,463,121,56
ALVARADO,Block Group 1; Census Tract 209; San Francisco County; California,60750209001,"$92,375",727,"1,701","1,701",40,258,48,0,599,218,538
,Block Group 1; Census Tract 210; San Francisco County; California,60750210001,"$161,795",550,"1,033","1,033",4,182,8,2,595,109,133
,Block Group 1; Census Tract 211; San Francisco County; California,60750211001,"$228,958",604,"1,189","1,189",1,153,21,5,833,125,51
,Block Group 1; Census Tract 212; San Francisco County; California,60750212001,"$173,438",489,957,957,2,121,6,1,682,118,27
,Block Group 1; Census Tract 213; San Francisco County; California,60750213001,"$187,500",564,"1,156","1,156",6,159,7,1,810,143,30
,Block Group 1; Census Tract 214; San Francisco County; California,60750214001,"$201,250",408,719,719,2,83,3,1,528,82,20
,Block Group 1; Census Tract 215; San Francisco County; California,60750215001,"$171,755",430,814,814,6,124,13,0,483,112,76
,Block Group 1; Census Tract 216; San Francisco County; California,60750216001,,986,"2,057","2,057",20,345,22,3,"1,337",248,82
,Block Group 1; Census Tract 217; San Francisco County; California,60750217001,"$153,580",648,"1,281","1,281",5,403,47,0,661,148,17
,Block Group 2; Census Tract 209; San Francisco County; California,60750209002,"$82,896",365,881,881,20,128,20,0,283,139,291
,Block Group 2; Census Tract 210; San Francisco County; California,60750210002,,519,954,954,6,123,21,0,592,130,82
,Block Group 2; Census Tract 211; San Francisco County; California,60750211002,"$152,125",510,976,976,1,133,18,0,674,126,24
,Block Group 2; Census Tract 212; San Francisco County; California,60750212002,"$174,226",606,"1,182","1,182",3,149,14,0,860,135,21
,Block Group 2; Census Tract 213; San Francisco County; California,60750213002,"$168,759",725,"1,496","1,496",10,224,20,0,991,209,42
,Block Group 2; Census Tract 214; San Francisco County; California,60750214002,"$157,131",745,"1,428","1,428",4,206,24,1,961,168,64
,Block Group 2; Census Tract 215; San Francisco County; California,60750215002,"$138,250",640,"1,289","1,289",9,202,27,1,756,195,99
,Block Group 2; Census Tract 216; San Francisco County; California,60750216002,"$161,793",792,"1,409","1,409",5,410,35,6,746,169,38
,Block Group 3; Census Tract 204.02; San Francisco County; California,60750204023,"$207,578",620,"1,154","1,154",6,149,31,3,767,162,36
,Block Group 3; Census Tract 209; San Francisco County; California,60750209003,"$245,697",367,673,673,13,112,5,0,316,89,138
,Block Group 3; Census Tract 210; San Francisco County; California,60750210003,"$183,036",787,"1,374","1,374",11,214,25,1,862,165,96
,Block Group 3; Census Tract 211; San Francisco County; California,60750211003,,515,"1,037","1,037",5,146,21,1,729,110,25
,Block Group 3; Census Tract 212; San Francisco County; California,60750212003,"$179,528",431,876,876,5,129,12,2,564,142,22
,Block Group 3; Census Tract 214; San Francisco County; California,60750214003,"$183,542",619,"1,257","1,257",3,164,13,0,877,141,59
,Block Group 3; Census Tract 215; San Francisco County; California,60750215003,,446,948,948,0,124,16,2,578,164,64
,Block Group 3; Census Tract 216; San Francisco County; California,60750216003,"$133,514",473,937,937,1,177,138,7,415,138,61
,Block Group 3; Census Tract 217; San Francisco County; California,60750217003,"$106,667",772,"1,665","1,665",19,265,217,5,875,211,73
,Block Group 3; Census Tract 253; San Francisco County; California,60750253003,"$130,375",368,871,871,11,147,16,1,366,110,220
,Block Group 4; Census Tract 204.02; San Francisco County; California,60750204024,"$163,359",608,981,981,6,142,37,2,632,129,33
,Block Group 4; Census Tract 209; San Francisco County; California,60750209004,"$130,893",514,"1,041","1,041",18,163,37,0,448,146,229
,Block Group 4; Census Tract 210; San Francisco County; California,60750210004,"$101,932",400,852,852,2,133,27,6,486,93,105
,Block Group 4; Census Tract 215; San Francisco County; California,60750215004,"$185,333",559,"1,107","1,107",3,177,15,1,732,149,30
,Block Group 4; Census Tract 253; San Francisco County; California,60750253004,"$155,563",772,"1,689","1,689",40,335,26,4,776,204,304
,Block Group 5; Census Tract 215; San Francisco County; California,60750215005,,538,"1,079","1,079",5,174,2,0,720,140,38
ARGONNE,Block Group 1; Census Tract 476; San Francisco County; California,60750476001,"$94,509",652,"1,391","1,391",1,590,24,4,552,180,40
,Block Group 1; Census Tract 477.01; San Francisco County; California,60750477011,"$103,300",731,"1,558","1,558",5,649,25,7,665,141,66
,Block Group 1; Census Tract 477.02; San Francisco County; California,60750477021,"$143,889",470,"1,131","1,131",1,582,28,8,415,68,29
,Block Group 1; Census Tract 478.01; San Francisco County; California,60750478011,"$203,000",517,"1,217","1,217",2,575,20,2,488,107,23
,Block Group 1; Census Tract 9803; San Francisco County; California,60759803001,"$149,688",36,284,284,5,39,38,18,119,31,34
,Block Group 2; Census Tract 476; San Francisco County; California,60750476002,"$141,824",556,"1,320","1,320",1,622,17,3,545,110,22
,Block Group 2; Census Tract 477.01; San Francisco County; California,60750477012,"$113,068",719,"1,503","1,503",7,721,21,0,586,125,43
,Block Group 2; Census Tract 477.02; San Francisco County; California,60750477022,"$104,018",548,"1,295","1,295",6,613,24,1,507,103,41
,Block Group 3; Census Tract 476; San Francisco County; California,60750476003,"$179,787",457,"1,093","1,093",7,511,11,0,426,108,30
,Block Group 3; Census Tract 477.01; San Francisco County; California,60750477013,"$123,664",607,"1,374","1,374",11,627,35,1,513,128,59
,Block Group 3; Census Tract 477.02; San Francisco County; California,60750477023,"$100,125",649,"1,397","1,397",8,543,23,0,660,125,38
,Block Group 3; Census Tract 478.01; San Francisco County; California,60750478013,"$152,500",746,"1,669","1,669",1,806,11,2,673,135,41
,Block Group 4; Census Tract 476; San Francisco County; California,60750476004,"$141,372",684,"1,498","1,498",3,610,19,0,662,164,40
BRYANT,Block Group 1; Census Tract 227.04; San Francisco County; California,60750227041,"$206,042","1,099","1,601","1,601",8,341,52,4,917,227,52
,Block Group 1; Census Tract 228.02; San Francisco County; California,60750228021,"$134,000",347,824,824,9,193,28,6,340,126,122
,Block Group 1; Census Tract 229.02; San Francisco County; California,60750229021,"$178,571",429,"1,141","1,141",29,161,30,0,433,219,269
,Block Group 1; Census Tract 229.03; San Francisco County; California,60750229031,"$139,500",514,"1,301","1,301",45,209,39,2,438,183,385
,Block Group 1; Census Tract 251; San Francisco County; California,60750251001,"$111,799",641,"1,575","1,575",22,206,32,0,925,245,145
,Block Group 1; Census Tract 252; San Francisco County; California,60750252001,"$93,400",539,"1,173","1,173",3,174,31,1,509,164,291
,Block Group 1; Census Tract 9809; San Francisco County; California,60759809001,"$137,750",299,"1,248","1,248",33,168,235,15,454,126,217
,Block Group 2; Census Tract 227.04; San Francisco County; California,60750227042,,505,"1,040","1,040",2,191,7,1,679,139,21
,Block Group 2; Census Tract 228.01; San Francisco County; California,60750228012,"$167,167",761,"1,830","1,830",44,277,37,1,797,236,438
,Block Group 2; Census Tract 228.02; San Francisco County; California,60750228022,,378,"1,151","1,151",9,252,68,6,474,140,202
,Block Group 2; Census Tract 228.03; San Francisco County; California,60750228032,"$183,125",442,"1,165","1,165",9,166,18,2,536,155,279
,Block Group 2; Census Tract 229.02; San Francisco County; California,60750229022,"$142,417",412,"1,142","1,142",25,149,30,5,430,145,358
,Block Group 2; Census Tract 229.03; San Francisco County; California,60750229032,"$149,813",375,988,988,11,112,25,5,464,159,212
,Block Group 2; Census Tract 614.01; San Francisco County; California,60750614012,"$155,167",450,916,916,4,184,32,4,544,92,56
,Block Group 3; Census Tract 228.03; San Francisco County; California,60750228033,"$195,536",442,"1,342","1,342",28,159,27,0,422,231,475
,Block Group 3; Census Tract 229.03; San Francisco County; California,60750229033,,317,718,718,6,114,5,0,338,123,132
,Block Group 3; Census Tract 251; San Francisco County; California,60750251003,"$153,235",336,830,830,9,186,48,0,400,121,66
,Block Group 3; Census Tract 614.01; San Francisco County; California,60750614013,"$231,478",557,"1,161","1,161",5,226,30,3,690,153,54
