E_AA_NAME,Label (Grouping),Geoid1,Weighted HH Inc,Median HH Income,Count of current SFUSD Kindergarten students,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),Total: (Population Race P8 Census 2020.csv),Total:!!White alone,Total:!!Asian alone,Total:!!Two or More Races,Total:!!Black or African American alone,Total:!!Some Other Race alone,Total:!!American Indian and Alaska Native alone,Total:!!Native Hawaiian and Other Pacific Islander alone,% White,% Asian,% Two or More,% Black,% Other,% American Indian,% Pacific Islander,
,TOTAL or Average,,"35,623","$143,575",,"49,955","90,551","90,551","36,428","32,359",8561,"6,222",5884,734,363,40.2%,35.7%,9.5%,6.9%,6.5%,0.8%,0.4%,100.0%
WEBSTER,Block Group 1; Census Tract 124.05; San Francisco County; California,60750124051,$836,"$42,383",,703,"1,332","1,332",512,204,134,226,234,19,3,38.4%,15.3%,10.1%,17.0%,17.6%,1.4%,0.2%,100.0%
WEBSTER,Block Group 1; Census Tract 176.02; San Francisco County; California,60750176021,$0,,,953,"1,898","1,898",545,717,133,265,209,26,3,28.7%,37.8%,7.0%,14.0%,11.0%,1.4%,0.2%,100.0%
WEBSTER,Block Group 1; Census Tract 176.03; San Francisco County; California,60750176031,"$1,527","$73,403",,741,"1,151","1,151",430,432,106,106,61,14,2,37.4%,37.5%,9.2%,9.2%,5.3%,1.2%,0.2%,100.0%
WEBSTER,Block Group 1; Census Tract 176.04; San Francisco County; California,60750176041,"$2,436","$123,944",,700,921,921,350,405,75,35,50,4,2,38.0%,44.0%,8.1%,3.8%,5.4%,0.4%,0.2%,100.0%
WEBSTER,Block Group 1; Census Tract 177; San Francisco County; California,60750177001,"$1,056","$165,789",,227,"1,041","1,041",467,233,89,148,89,8,7,44.9%,22.4%,8.5%,14.2%,8.5%,0.8%,0.7%,100.0%
WEBSTER,Block Group 1; Census Tract 178.01; San Francisco County; California,60750178011,$349,"$13,689",,909,"1,189","1,189",163,849,46,93,31,4,3,13.7%,71.4%,3.9%,7.8%,2.6%,0.3%,0.3%,100.0%
WEBSTER,Block Group 1; Census Tract 178.03; San Francisco County; California,60750178031,$0,,,621,"1,070","1,070",416,251,129,148,94,22,10,38.9%,23.5%,12.1%,13.8%,8.8%,2.1%,0.9%,100.0%
WEBSTER,Block Group 1; Census Tract 178.04; San Francisco County; California,60750178041,"$3,298","$135,026",,870,"1,866","1,866",712,619,175,161,186,11,2,38.2%,33.2%,9.4%,8.6%,10.0%,0.6%,0.1%,100.0%
WEBSTER,Block Group 1; Census Tract 180; San Francisco County; California,60750180001,"$2,345","$136,719",,611,880,880,350,378,73,12,64,3,0,39.8%,43.0%,8.3%,1.4%,7.3%,0.3%,0.0%,100.0%
WEBSTER,Block Group 1; Census Tract 201.01; San Francisco County; California,60750201011,"$2,690","$94,209",,"1,017","1,541","1,541",681,425,157,150,81,37,10,44.2%,27.6%,10.2%,9.7%,5.3%,2.4%,0.6%,100.0%
WEBSTER,Block Group 1; Census Tract 226; San Francisco County; California,60750226001,"$8,544","$229,713",,"1,325","2,390","2,390","1,196",820,219,67,73,13,2,50.0%,34.3%,9.2%,2.8%,3.1%,0.5%,0.1%,100.0%
WEBSTER,Block Group 1; Census Tract 227.02; San Francisco County; California,60750227021,"$3,622","$216,875",,595,"1,128","1,128",716,229,118,19,38,8,0,63.5%,20.3%,10.5%,1.7%,3.4%,0.7%,0.0%,100.0%
WEBSTER,Block Group 1; Census Tract 227.04; San Francisco County; California,60750227041,"$6,357","$206,042",,"1,099","1,601","1,601",917,341,227,52,52,8,4,57.3%,21.3%,14.2%,3.2%,3.2%,0.5%,0.2%,100.0%
WEBSTER,Block Group 1; Census Tract 228.02; San Francisco County; California,60750228021,"$1,305","$134,000",,347,824,824,340,193,126,28,122,9,6,41.3%,23.4%,15.3%,3.4%,14.8%,1.1%,0.7%,100.0%
